,0
37519,0.8989341
200020,0.53732747
184705,0.7270655
35930,0.7022857
174583,0.76698774
89286,0.8605158
3073,0.570282
147007,0.5499588
220122,0.9530417
172239,0.8001607
27732,0.5268455
145077,0.6436932
245189,0.8684369
211829,0.74004525
225248,0.73059374
172020,0.7625303
16431,0.8293645
179269,0.51785386
125475,0.55465585
170991,0.8312741
196342,0.7175179
150825,0.80054677
193970,0.8041405
110532,0.641268
155139,0.6498531
220561,0.9063927
168041,0.80874974
178112,0.6831258
108233,0.77793115
202827,0.80256665
201622,0.8960033
123336,0.7313697
41608,0.8671765
108487,0.7355891
40965,0.8557272
52354,0.82112765
220958,0.7169967
119703,0.81210107
104604,0.91162986
192460,0.8007802
160821,0.7654265
127670,0.5027946
130647,0.71311426
214682,0.70529807
123527,0.77726454
196776,0.47708943
211701,0.6572739
40675,0.8026238
124442,0.95561236
211093,0.5933182
181242,0.8193411
157153,0.8694308
201027,0.8865856
92719,0.8091253
10532,0.80416065
46024,0.5040368
227333,0.7109719
127816,0.82383543
144295,0.80914974
101713,0.6523596
230710,0.79217976
58742,0.80467683
89584,0.7795645
142183,0.8101229
128638,0.8877455
192837,0.4201619
140802,0.8887702
192893,0.5727408
193400,0.9414307
237006,0.7390356
126318,0.7856926
52237,0.49088028
68520,0.8385791
192677,0.35324675
77528,0.5010853
28339,0.73541796
77215,0.6073754
211876,0.68942714
192615,0.6288761
91245,0.7454905
20423,0.7472135
39649,0.5207371
161347,0.772801
164201,0.81287277
64197,0.78954643
86972,0.7313221
31652,0.8283951
178253,0.7976797
228775,0.8062723
100651,0.6333641
115391,0.81379753
94335,0.9501124
172733,0.74477047
217420,0.7969034
55188,0.8536356
85048,0.81068534
140562,0.87211895
157003,0.41500714
155099,0.9217877
52838,0.684033
39732,0.49119052
347,0.655668
70016,0.72732335
182907,0.7728872
226879,0.73545307
230156,0.83032274
125440,0.88342947
27544,0.42377853
129501,0.86511284
186575,0.8215896
76467,0.78363955
9136,0.48854098
187714,0.85183734
114588,0.90917236
80903,0.7077824
187681,0.78864443
258226,0.85678065
230560,0.85012376
7189,0.73066765
113733,0.62796885
231306,0.81590945
218918,0.3966866
154331,0.5771223
37665,0.865942
109805,0.76305085
195013,0.79923916
251157,0.6624401
215783,0.81067055
197487,0.808865
13422,0.76300794
238422,0.56117654
245252,0.79574203
81527,0.7207776
121123,0.7416551
9876,0.776464
106169,0.8197788
212353,0.8590506
121083,0.8522655
158724,0.6061786
69800,0.60502344
26156,0.89399654
154372,0.4662164
131453,0.7145363
165579,0.862751
253396,0.74190533
43134,0.89077586
17332,0.751632
145336,0.81864595
150153,0.88945705
134001,0.6633205
18939,0.86267745
92232,0.82611924
15010,0.6378142
239119,0.7424429
77349,0.8002673
205864,0.5894302
39274,0.41531911
2871,0.7329832
79356,0.888433
187617,0.87915105
8383,0.8638798
2277,0.835412
176206,0.87567073
224279,0.6890942
30662,0.7588993
201265,0.89487123
213463,0.9185795
232384,0.6795728
218122,0.95158875
45502,0.87162966
91034,0.74846715
13097,0.447918
57135,0.57697415
9527,0.9372558
142803,0.72030157
216988,0.68313414
37110,0.75498134
132559,0.8232198
176505,0.77707756
226437,0.84840405
128039,0.8998927
165619,0.59138227
68360,0.8530043
58,0.6674569
57797,0.7703569
125796,0.742483
22180,0.77676475
181967,0.8266541
153661,0.7912948
16454,0.7175639
8027,0.6327081
52084,0.70143634
17255,0.7647579
231790,0.3803274
214802,0.72910094
252578,0.5572011
41343,0.7034898
134403,0.7073239
187728,0.6595356
65609,0.8507558
57815,0.70278525
181642,0.6981644
169466,0.73935556
162823,0.8022741
183287,0.86843264
193606,0.6914957
27972,0.6845982
12242,0.7773466
164929,0.6786313
259705,0.5553032
3910,0.83248734
45801,0.8239563
89366,0.765161
77102,0.731242
215596,0.90958023
195236,0.8835351
159482,0.806766
118079,0.58263946
131579,0.57287014
135034,0.89433384
106959,0.73292536
180156,0.6634727
177576,0.83146435
135046,0.74483323
14120,0.9094528
125818,0.7905889
105651,0.8431969
107001,0.76996964
84217,0.51008815
185242,0.8873771
9070,0.6132857
128648,0.9187861
79858,0.78809273
199850,0.7539006
40407,0.7546764
258531,0.4722179
94365,0.7227875
235367,0.7820607
208388,0.8105402
15567,0.85919386
16937,0.6666281
237127,0.70544577
208672,0.7683787
99057,0.78893685
235379,0.87557817
132292,0.5988484
205219,0.7001991
244036,0.90502733
110369,0.8273685
229759,0.82323503
226142,0.7140517
46031,0.7024684
67620,0.67677385
216838,0.88084877
60293,0.7271798
109659,0.6799232
229518,0.9484453
184144,0.72373784
135807,0.73290366
227629,0.9028764
225371,0.9094558
124367,0.8902677
259850,0.75219053
186297,0.77118015
77249,0.8903327
256821,0.8452563
257596,0.6431176
53614,0.5085592
112951,0.70275235
151864,0.70911825
55831,0.82416147
4194,0.76632845
128856,0.5525856
212134,0.8407019
235256,0.61916846
124471,0.7099688
232133,0.9559921
201431,0.61841065
255711,0.7783704
239886,0.8102079
158505,0.8177461
247003,0.6028249
167508,0.8695072
87049,0.8467638
194585,0.6436041
80606,0.72809374
34207,0.7625128
118355,0.7273705
143557,0.8110456
136276,0.8127605
118312,0.63865197
44195,0.5970377
44984,0.6962063
173475,0.64849997
173395,0.7482078
256615,0.8440986
108478,0.59595406
244790,0.7333007
133025,0.7707869
13,0.7856224
47622,0.8831395
14368,0.5709107
9574,0.78779423
179941,0.8247169
254157,0.65575784
65622,0.75071484
90785,0.8497303
12449,0.80362415
79726,0.78880394
189406,0.8799138
247963,0.6087792
204822,0.7568871
172799,0.7796344
66150,0.866873
3836,0.8087171
97221,0.67973465
34785,0.6569385
162370,0.8961448
126559,0.7720969
